",""lulc_class"""
"1,""6"""
"2,""1"""
"3,""6"""
"4,""2"""
"5,""1"""
"6,""5"""
"7,""7"""
"8,""7"""
"9,""6"""
"10,""1"""
"11,""2"""
"12,""2"""
"13,""8"""
"14,""1"""
"15,""6"""
"16,""1"""
"17,""9"""
"18,""1"""
"19,""6"""
"20,""1"""
"21,""1"""
"22,""5"""
"23,""2"""
"24,""5"""
"25,""5"""
"26,""4"""
"27,""4"""
"28,""7"""
"29,""1"""
"30,""6"""
"31,""3"""
"32,""1"""
"33,""4"""
"34,""1"""
"35,""1"""
"36,""1"""
"37,""1"""
"38,""10"""
"39,""1"""
"40,""6"""
"41,""2"""
"42,""1"""
"43,""5"""
"44,""6"""
"45,""4"""
"46,""5"""
"47,""6"""
"48,""4"""
"49,""1"""
"50,""4"""
"51,""7"""
"52,""2"""
"53,""2"""
"54,""9"""
"55,""6"""
"56,""1"""
"57,""5"""
"58,""2"""
"59,""1"""
"60,""1"""
"61,""1"""
"62,""6"""
"63,""1"""
"64,""1"""
"65,""6"""
"66,""7"""
"67,""2"""
"68,""6"""
"69,""2"""
"70,""1"""
"71,""1"""
"72,""10"""
"73,""2"""
"74,""2"""
"75,""2"""
"76,""6"""
"77,""2"""
"78,""2"""
"79,""5"""
"80,""5"""
"81,""5"""
"82,""4"""
"83,""9"""
"84,""9"""
"85,""2"""
"86,""5"""
"87,""8"""
"88,""6"""
"89,""5"""
"90,""5"""
"91,""7"""
"92,""8"""
"93,""4"""
"94,""5"""
"95,""2"""
"96,""5"""
"97,""6"""
"98,""1"""
"99,""6"""
"100,""2"""
"101,""2"""
"102,""7"""
"103,""5"""
"104,""2"""
"105,""4"""
"106,""6"""
"107,""7"""
"108,""7"""
"109,""3"""
"110,""6"""
"111,""6"""
"112,""9"""
"113,""2"""
"114,""1"""
"115,""4"""
"116,""2"""
"117,""6"""
"118,""6"""
"119,""2"""
"120,""2"""
"121,""2"""
"122,""2"""
"123,""3"""
"124,""2"""
"125,""6"""
"126,""4"""
"127,""10"""
"128,""1"""
"129,""9"""
"130,""4"""
"131,""7"""
"132,""5"""
"133,""4"""
"134,""3"""
"135,""7"""
"136,""7"""
"137,""6"""
"138,""9"""
"139,""4"""
"140,""7"""
"141,""6"""
"142,""4"""
"143,""1"""
"144,""4"""
"145,""2"""
"146,""5"""
"147,""1"""
"148,""5"""
"149,""1"""
"150,""6"""
"151,""4"""
"152,""9"""
"153,""9"""
"154,""9"""
"155,""2"""
"156,""5"""
"157,""6"""
"158,""4"""
"159,""5"""
"160,""6"""
"161,""2"""
"162,""9"""
"163,""4"""
"164,""2"""
"165,""1"""
"166,""6"""
"167,""5"""
"168,""4"""
"169,""5"""
"170,""5"""
"171,""4"""
"172,""9"""
"173,""9"""
"174,""9"""
"175,""6"""
"176,""2"""
"177,""3"""
"178,""5"""
"179,""4"""
"180,""1"""
"181,""9"""
"182,""4"""
"183,""7"""
"184,""5"""
"185,""1"""
"186,""4"""
"187,""4"""
"188,""4"""
"189,""4"""
"190,""4"""
"191,""3"""
"192,""4"""
"193,""7"""
"194,""4"""
"195,""2"""
"196,""5"""
"197,""5"""
"198,""9"""
"199,""4"""
"200,""2"""
"201,""4"""
"202,""7"""
"203,""7"""
"204,""3"""
"205,""1"""
"206,""7"""
"207,""7"""
"208,""5"""
"209,""4"""
"210,""7"""
"211,""4"""
"212,""4"""
"213,""4"""
"214,""7"""
"215,""7"""
"216,""5"""
"217,""1"""
"218,""4"""
"219,""4"""
"220,""4"""
"221,""2"""
"222,""4"""
"223,""3"""
"224,""4"""
"225,""5"""
"226,""4"""
"227,""8"""
"228,""4"""
"229,""4"""
"230,""4"""
"231,""5"""
"232,""2"""
"233,""4"""
"234,""5"""
"235,""3"""
"236,""4"""
"237,""3"""
"238,""5"""
"239,""1"""
"240,""4"""
"241,""5"""
"242,""5"""
"243,""5"""
"244,""10"""
"245,""2"""
"246,""2"""
"247,""5"""
"248,""5"""
"249,""3"""
"250,""2"""
"251,""9"""
"252,""4"""
"253,""5"""
"254,""4"""
"255,""5"""
"256,""5"""
"257,""5"""
"258,""9"""
"259,""4"""
"260,""4"""
"261,""4"""
"262,""7"""
"263,""9"""
"264,""5"""
"265,""7"""
"266,""5"""
"267,""4"""
"268,""5"""
"269,""2"""
"270,""4"""
"271,""2"""
"272,""4"""
"273,""6"""
"274,""5"""
"275,""7"""
"276,""5"""
"277,""4"""
"278,""2"""
"279,""5"""
"280,""5"""
"281,""1"""
"282,""5"""
"283,""9"""
"284,""1"""
"285,""4"""
"286,""5"""
"287,""9"""
"288,""5"""
"289,""5"""
"290,""2"""
"291,""4"""
"292,""4"""
"293,""3"""
"294,""4"""
"295,""4"""
"296,""2"""
"297,""1"""
"298,""5"""
"299,""3"""
"300,""1"""
"301,""7"""
"302,""9"""
"303,""6"""
"304,""1"""
"305,""6"""
"306,""6"""
"307,""2"""
"308,""6"""
"309,""6"""
"310,""6"""
"311,""6"""
"312,""6"""
"313,""9"""
"314,""10"""
"315,""9"""
"316,""6"""
"317,""6"""
"318,""6"""
"319,""6"""
"320,""8"""
"321,""1"""
"322,""10"""
"323,""6"""
"324,""10"""
"325,""7"""
"326,""10"""
"327,""6"""
"328,""6"""
"329,""10"""
"330,""6"""
"331,""6"""
"332,""6"""
"333,""6"""
"334,""6"""
"335,""6"""
"336,""6"""
"337,""6"""
"338,""6"""
"339,""6"""
"340,""3"""
"341,""6"""
"342,""6"""
"343,""6"""
"344,""2"""
"345,""6"""
"346,""6"""
"347,""10"""
"348,""10"""
"349,""6"""
"350,""10"""
"351,""6"""
"352,""9"""
"353,""6"""
"354,""6"""
"355,""6"""
"356,""7"""
"357,""6"""
"358,""6"""
"359,""7"""
"360,""7"""
"361,""5"""
"362,""9"""
"363,""7"""
"364,""7"""
"365,""8"""
"366,""7"""
"367,""5"""
"368,""3"""
"369,""5"""
"370,""10"""
"371,""3"""
"372,""7"""
"373,""5"""
"374,""10"""
"375,""7"""
"376,""7"""
"377,""6"""
"378,""7"""
"379,""7"""
"380,""6"""
"381,""4"""
"382,""4"""
"383,""7"""
"384,""7"""
"385,""7"""
"386,""4"""
"387,""10"""
"388,""4"""
"389,""8"""
"390,""7"""
"391,""4"""
"392,""7"""
"393,""7"""
"394,""5"""
"395,""10"""
"396,""5"""
"397,""7"""
"398,""2"""
"399,""4"""
"400,""7"""
"401,""4"""
"402,""4"""
"403,""7"""
"404,""7"""
"405,""5"""
"406,""7"""
"407,""7"""
"408,""7"""
"409,""7"""
"410,""3"""
"411,""7"""
"412,""7"""
"413,""4"""
"414,""7"""
"415,""7"""
"416,""7"""
"417,""7"""
"418,""7"""
"419,""1"""
"420,""4"""
"421,""7"""
"422,""5"""
"423,""8"""
"424,""8"""
"425,""8"""
"426,""8"""
"427,""8"""
"428,""8"""
"429,""10"""
"430,""7"""
"431,""6"""
"432,""9"""
"433,""8"""
"434,""8"""
"435,""6"""
"436,""8"""
"437,""8"""
"438,""8"""
"439,""3"""
"440,""8"""
"441,""8"""
"442,""8"""
"443,""8"""
"444,""8"""
"445,""8"""
"446,""8"""
"447,""8"""
"448,""8"""
"449,""8"""
"450,""8"""
"451,""8"""
"452,""4"""
"453,""8"""
"454,""8"""
"455,""8"""
"456,""4"""
"457,""8"""
"458,""8"""
"459,""8"""
"460,""8"""
"461,""8"""
"462,""8"""
"463,""1"""
"464,""8"""
"465,""8"""
"466,""8"""
"467,""8"""
"468,""9"""
"469,""8"""
"470,""4"""
"471,""10"""
"472,""8"""
"473,""8"""
"474,""8"""
"475,""8"""
"476,""8"""
"477,""8"""
"478,""8"""
"479,""8"""
"480,""1"""
"481,""9"""
"482,""9"""
"483,""8"""
"484,""8"""
"485,""9"""
"486,""5"""
"487,""9"""
"488,""9"""
"489,""9"""
"490,""9"""
"491,""10"""
"492,""9"""
"493,""9"""
"494,""9"""
"495,""4"""
"496,""9"""
"497,""9"""
"498,""9"""
"499,""5"""
"500,""9"""
"501,""3"""
"502,""9"""
"503,""9"""
"504,""7"""
"505,""9"""
"506,""7"""
"507,""7"""
"508,""9"""
"509,""9"""
"510,""9"""
"511,""4"""
"512,""1"""
"513,""9"""
"514,""2"""
"515,""6"""
"516,""9"""
"517,""9"""
"518,""9"""
"519,""9"""
"520,""9"""
"521,""9"""
"522,""9"""
"523,""3"""
"524,""9"""
"525,""9"""
"526,""9"""
"527,""8"""
"528,""9"""
"529,""9"""
"530,""3"""
"531,""7"""
"532,""9"""
"533,""9"""
"534,""9"""
"535,""10"""
"536,""7"""
"537,""10"""
"538,""8"""
"539,""1"""
"540,""10"""
"541,""1"""
"542,""10"""
"543,""10"""
"544,""10"""
"545,""10"""
"546,""10"""
"547,""10"""
"548,""10"""
"549,""10"""
"550,""10"""
"551,""7"""
"552,""10"""
"553,""6"""
"554,""9"""
"555,""10"""
"556,""10"""
"557,""10"""
"558,""10"""
"559,""10"""
"560,""1"""
"561,""6"""
"562,""6"""
"563,""8"""
"564,""8"""
"565,""10"""
"566,""10"""
"567,""2"""
"568,""10"""
"569,""5"""
"570,""10"""
"571,""10"""
"572,""10"""
"573,""10"""
"574,""10"""
"575,""2"""
"576,""3"""
"577,""10"""
"578,""10"""
"579,""6"""
"580,""10"""
"581,""4"""
"582,""10"""
"583,""10"""
"584,""10"""
"585,""10"""
"586,""6"""
"587,""10"""
"588,""1"""
"589,""8"""
"590,""8"""
"591,""10"""
"592,""10"""
"593,""10"""
"594,""10"""
"595,""10"""
"596,""10"""
"597,""10"""
"598,""10"""
"599,""10"""
"600,""10"""
